participant_id,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20
S0001,6366.170637990038,6446.7489204720105,6559.819809308265,5905.383245237089,5162.492285190009,6028.076246997381,6458.380558227083,6205.981301837967,7243.93781880912,5391.778385117765,5360.215853838462,5614.124993156451,4916.545101999288,4508.638242961177,7427.161509495441,4373.900645984275,6737.216040197864,6355.393699217358,5491.908724681121,5365.63012792816
S0002,6788.600448536319,6896.027977640934,5982.344021939535,5952.071875611153,5463.307790320132,6583.128307270139,7132.661462059794,6348.097846165278,7160.92781598174,5661.415373264684,4562.206767623482,5032.459214514258,5604.713344221012,4399.470985870376,6465.868972194602,4306.438815755576,7507.073438428612,6448.561262801794,5949.054178221033,5483.559101456219
S0003,5937.30428878552,6645.804887791193,6489.968827469847,5846.140182453529,5340.202393692106,6701.240851350781,7309.845492947553,6352.111168356441,6211.396710403883,5926.828580979126,4571.861904563123,6387.81039136902,5433.9000653818775,4805.046568438808,6044.73288195399,3867.045121944316,7010.590515470368,6262.630009898242,5663.778061717013,5240.449883639282
S0004,5925.521745971024,6397.848113158334,6413.121645173054,5709.860464550011,5674.974595028076,6303.008535552445,6750.75298990991,6427.715624389866,6112.861103769262,6159.5055057987865,4551.255253727989,6599.806955274105,5195.281081395433,4507.408082987738,6760.084505969502,4420.241861606676,6866.268566637657,7016.150033754951,5741.113944431628,5728.72050294782
S0005,5955.165039958607,6499.196100014071,5937.520202378945,6032.438960531045,5391.364758924121,6806.250293327331,7110.236266764761,6559.969167727223,6469.644158945236,6289.929656877636,4785.474839764079,5233.750819854627,5145.839518253902,4490.32094778229,6845.6953289606745,3690.705635742393,6965.340851332791,6011.17100253487,4938.302957630469,5401.851557019741
S0006,5939.574038031084,6322.147091383483,6864.321652685006,7025.96955033107,4934.0105378965145,5963.036952015495,6452.379223487228,6505.074347863529,6085.9892490068405,5578.36038322095,4568.805024530785,4872.304029646374,4912.210998388662,4433.27239643908,6523.129261609773,3747.3151451264616,7406.08399125627,6390.245473929535,5358.264066346932,6353.751679176538
S0007,6143.213570039636,6468.661284634453,6388.472538473128,6883.572714593335,5666.055221101162,6390.114912479137,6773.539221667597,6432.151751429452,7116.4928836198615,5827.083401358664,4114.004180477943,6165.832247428256,5176.2874166395495,4063.414753604077,6329.85692958416,4755.343415573323,6568.187847657248,6244.875387226239,3951.765210011749,5844.247691548567
S0008,6853.430823634445,6475.608967886891,6335.941411583329,6040.255537621221,5081.155680741803,6600.837898356454,6875.6507849762165,6374.699706719433,6416.642951407127,5548.664834857791,4735.490986025469,6158.336223279093,5000.127017074885,4128.639627492591,6095.952700262093,4879.824938660323,6769.6992085327165,6732.810461292699,5723.748048361328,5685.644292296345
S0009,5777.8343462130815,6050.029689205596,6231.850039526124,6348.011214501091,5390.857894429364,6580.025988436288,6979.507218337493,5903.491679930225,6354.453110879452,5159.701358188081,4483.324268870812,5597.92369134077,5231.152629046906,5354.068718879656,6550.422698135969,4402.712259903055,7407.539733429475,6384.86696017854,4993.91071000938,6299.779686265692
S0010,6122.390813019609,6862.543177085941,6405.107311261144,5455.99095444014,5084.640157003834,6312.93899983224,6872.766661390874,6081.204689640437,6170.37517826218,5915.5887067298445,4001.631387117525,5139.040626031265,4763.376867107801,4022.066506498569,6627.063928902554,3215.295736321756,6845.961627235145,6539.27061508288,4576.827249806349,5703.9862990767615
S0011,5241.027773316257,6482.359480335553,5874.910237872015,5889.106354950936,4966.645685783419,5636.671223727786,6917.195918267767,6481.289566972949,6605.7497508507695,5676.461213862687,4316.127018056855,5621.128546684259,5072.180052375576,4505.433780929234,7397.822775831202,4193.267770798859,6182.659673616391,7007.316369999555,4630.844958623301,5886.671489883662
S0012,5804.998850751536,6364.272974931056,6513.852134610704,7104.400063307541,5473.917465058786,6611.156074627774,6680.22123990564,6484.380683337009,6885.390306677607,6041.096131720464,4731.980939028447,5416.418798946465,4099.273773764182,5017.8387608345765,6433.321442838834,4509.541244449591,6431.546101770044,5934.154668495063,6128.88194631675,6004.661670714469
S0013,6629.957700527456,6710.550960131873,6251.314677540245,6932.64949349217,5204.334468385913,7455.959945940455,7016.865535753245,6889.471881755088,6751.793085525324,5438.723160709804,4133.3404239356005,5347.940567662076,4506.209288587332,4986.999908603781,6232.373727817415,4824.190909394786,7049.341068006241,5741.176874111149,5409.071157098136,6097.790274785793
S0014,6701.36879651814,6266.192825118638,6526.260957866484,5399.237842165644,5603.435818157716,6257.776913334143,6936.696754944484,6385.466145534251,6921.2272095240805,5478.549167675549,4577.600471671613,5787.519758779201,5376.196602569572,5376.03262666679,7186.283497580497,4685.186613178124,7761.806420657922,6274.065480284025,5861.246769960914,6152.6967342003645
