participant_id,Age
S00000,54.48
S00001,82.15
S00002,57.23
S00003,66.29
S00004,65.25
S00005,58.5
S00006,75.74
S00007,56.09
S00008,60.16
S00009,65.27
S00010,72.24
S00011,66.96
S00012,51.68
S00013,81.1
S00014,80.82
S00015,56.38
S00016,53.41
S00017,59.53
S00018,66.37
S00019,50.57
S00020,78.18
S00021,59.67
S00022,71.99
S00023,56.4
S00024,57.83
S00025,50.93
S00026,74.17
S00027,81.44
S00028,70.82
S00029,77.99
S00030,54.6
S00031,73.9
S00032,61.17
S00033,76.24
S00034,84.27
S00035,59.95
S00036,58.64
S00037,59.01
S00038,63.72
S00039,77.04
S00040,66.91
S00041,73.81
S00042,66.47
S00043,71.56
S00044,70.71
S00045,74.29
S00046,76.72
S00047,70.71
S00048,58.42
S00049,65.45
S00050,68.45
S00051,76.91
S00052,72.32
S00053,83.97
S00054,84.22
S00055,76.46
S00056,67.85
S00057,80.44
S00058,55.63
S00059,78.16
S00060,68.12
S00061,58.13
S00062,71.8
S00063,59.96
S00064,70.37
S00065,73.54
S00066,52.09
S00067,71.18
S00068,78.69
S00069,60.99
S00070,75.03
S00071,67.93
S00072,63.71
S00073,71.15
S00074,83.17
S00075,52.72
S00076,77.25
S00077,57.92
S00078,84.64
S00079,61.3
S00080,54.4
S00081,60.78
S00082,69.05
S00083,70.7
S00084,59.5
S00085,55.44
S00086,77.44
S00087,58.9
S00088,63.34
S00089,76.0
S00090,74.93
S00091,76.8
S00092,66.26
S00093,84.82
S00094,78.26
S00095,77.96
S00096,69.38
S00097,60.89
S00098,58.18
S00099,84.55
S00100,62.09
S00101,53.05
S00102,56.43
S00103,68.73
S00104,83.38
S00105,69.17
S00106,51.59
S00107,73.37
S00108,52.57
S00109,59.05
S00110,77.11
S00111,66.69
S00112,55.13
S00113,60.5
S00114,50.88
S00115,84.51
S00116,80.23
S00117,54.27
S00118,82.32
S00119,69.13
S00120,81.12
S00121,53.97
S00122,81.92
S00123,61.06
S00124,51.42
S00125,52.31
S00126,63.21
S00127,79.18
S00128,54.55
S00129,58.63
S00130,51.3
S00131,54.89
S00132,74.5
S00133,56.59
S00134,74.5
S00135,82.98
S00136,64.7
S00137,63.33
S00138,79.15
S00139,61.2
S00140,59.51
S00141,64.8
S00142,61.59
S00143,69.38
S00144,55.54
S00145,52.39
S00146,76.87
S00147,72.16
S00148,63.96
S00149,57.73
S00150,69.25
S00151,68.56
S00152,69.97
S00153,70.76
S00154,72.43
S00155,78.61
S00156,53.93
S00157,66.54
S00158,56.37
S00159,53.65
S00160,64.83
S00161,76.88
S00162,79.58
S00163,55.5
S00164,75.01
S00165,78.96
S00166,78.69
S00167,59.97
S00168,69.26
S00169,79.01
S00170,60.89
S00171,81.23
S00172,57.08
S00173,84.38
S00174,66.33
S00175,79.43
S00176,72.82
S00177,77.28
S00178,52.26
S00179,82.26
S00180,83.48
S00181,72.88
S00182,64.24
S00183,58.02
S00184,70.42
S00185,80.39
S00186,57.47
S00187,66.28
S00188,77.26
S00189,62.62
S00190,53.41
S00191,83.15
S00192,56.04
S00193,66.83
S00194,56.8
S00195,60.11
S00196,64.02
S00197,66.63
S00198,61.88
S00199,56.23
S00200,63.74
S00201,71.36
S00202,64.04
S00203,55.01
S00204,56.08
S00205,78.42
S00206,76.83
S00207,63.3
S00208,84.4
S00209,72.15
S00210,65.13
S00211,55.64
S00212,63.16
S00213,61.78
S00214,66.04
S00215,66.32
S00216,84.58
S00217,69.44
S00218,59.4
S00219,53.23
S00220,74.68
S00221,73.3
S00222,62.73
S00223,51.96
S00224,83.62
S00225,68.98
S00226,82.3
S00227,83.68
S00228,70.8
S00229,63.44
S00230,56.53
S00231,76.66
S00232,65.32
S00233,75.72
S00234,79.71
S00235,70.78
S00236,65.19
S00237,67.64
S00238,64.62
S00239,62.43
S00240,76.0
S00241,76.15
S00242,69.7
S00243,59.4
S00244,79.3
S00245,52.49
S00246,65.62
S00247,58.09
S00248,70.98
S00249,54.49
S00250,83.94
S00251,61.45
S00252,54.98
S00253,52.83
S00254,84.56
S00255,81.08
S00256,51.31
S00257,61.37
S00258,59.73
S00259,56.28
S00260,56.22
S00261,65.67
S00262,67.62
S00263,55.46
S00264,51.05
S00265,52.77
S00266,67.06
S00267,75.38
S00268,50.98
S00269,73.59
S00270,51.06
S00271,84.07
S00272,54.64
S00273,51.25
S00274,66.89
S00275,69.49
S00276,70.38
S00277,64.06
S00278,51.03
S00279,52.32
S00280,62.92
S00281,79.03
S00282,84.71
S00283,61.9
S00284,77.49
S00285,63.7
S00286,70.95
S00287,83.51
S00288,73.36
S00289,60.73
S00290,80.5
S00291,52.05
S00292,76.53
S00293,51.7
S00294,79.34
S00295,67.78
S00296,54.42
S00297,74.04
S00298,54.23
S00299,66.38
S00300,58.32
S00301,51.59
S00302,64.99
S00303,80.06
S00304,58.36
S00305,58.08
S00306,77.3
S00307,53.2
S00308,66.05
S00309,77.66
S00310,72.07
S00311,60.18
S00312,76.64
S00313,54.1
S00314,56.95
S00315,55.31
S00316,52.51
S00317,52.48
S00318,66.41
S00319,58.42
S00320,80.32
S00321,73.07
S00322,52.2
S00323,76.93
S00324,73.71
S00325,81.74
S00326,73.11
S00327,72.13
S00328,64.09
S00329,53.18
S00330,51.3
S00331,76.97
S00332,68.13
S00333,71.36
S00334,69.86
S00335,77.84
S00336,70.49
S00337,54.49
S00338,74.57
S00339,52.12
S00340,54.61
S00341,58.54
S00342,63.84
S00343,68.06
S00344,81.86
S00345,62.14
S00346,69.72
S00347,58.42
S00348,66.39
S00349,51.74
S00350,70.56
S00351,56.74
S00352,80.04
S00353,71.41
S00354,53.84
S00355,71.89
S00356,64.52
S00357,55.64
S00358,66.47
S00359,74.05
S00360,55.01
S00361,82.34
S00362,63.55
S00363,61.96
S00364,69.19
S00365,82.29
S00366,55.15
S00367,56.29
S00368,75.23
S00369,76.4
S00370,79.43
S00371,60.08
S00372,64.91
S00373,75.39
S00374,62.32
S00375,65.26
S00376,71.61
S00377,81.38
S00378,74.76
S00379,72.11
S00380,52.82
S00381,68.76
S00382,55.24
S00383,65.75
S00384,75.02
S00385,61.72
S00386,56.51
S00387,74.97
S00388,76.4
S00389,75.46
S00390,84.36
S00391,66.59
S00392,78.19
S00393,63.5
S00394,67.1
S00395,50.68
S00396,65.03
S00397,71.27
S00398,69.14
S00399,55.4
S00400,57.26
S00401,69.05
S00402,70.48
S00403,54.76
S00404,69.03
S00405,75.21
S00406,55.91
S00407,56.72
S00408,68.51
S00409,53.86
S00410,75.95
S00411,76.47
S00412,57.06
S00413,67.26
S00414,74.79
S00415,54.09
S00416,68.12
S00417,61.72
S00418,80.69
S00419,50.92
S00420,79.83
S00421,84.97
S00422,78.65
S00423,84.75
S00424,50.74
S00425,57.92
S00426,70.5
S00427,73.06
S00428,56.04
S00429,57.29
S00430,77.33
S00431,58.57
S00432,55.93
S00433,70.94
S00434,77.45
S00435,65.61
S00436,62.81
S00437,67.51
S00438,60.3
S00439,51.42
S00440,56.48
S00441,75.26
S00442,52.07
S00443,84.08
S00444,61.21
S00445,56.16
S00446,68.35
S00447,76.21
S00448,70.89
S00449,51.02
S00450,78.1
S00451,55.11
S00452,78.28
S00453,54.53
S00454,63.95
S00455,73.13
S00456,72.59
S00457,74.88
S00458,66.75
S00459,60.98
S00460,80.17
S00461,77.77
S00462,68.2
S00463,63.64
S00464,58.86
S00465,80.85
S00466,69.69
S00467,81.8
S00468,72.08
S00469,65.35
S00470,82.53
S00471,80.34
S00472,76.55
S00473,81.01
S00474,56.65
S00475,72.57
S00476,61.85
S00477,67.33
S00478,77.72
S00479,84.78
S00480,62.26
S00481,74.79
S00482,84.56
S00483,64.02
S00484,84.99
S00485,51.22
S00486,54.67
S00487,61.58
S00488,72.26
S00489,56.47
S00490,52.68
S00491,65.01
S00492,56.03
S00493,69.87
S00494,77.55
S00495,61.89
S00496,63.17
S00497,57.04
S00498,75.63
S00499,52.9
S00500,65.89
S00501,70.61
S00502,82.9
S00503,51.72
S00504,54.49
S00505,72.8
S00506,84.14
S00507,75.94
S00508,55.17
S00509,57.76
S00510,61.97
S00511,81.6
S00512,69.55
S00513,58.38
S00514,51.48
S00515,62.41
S00516,69.2
S00517,65.21
S00518,61.52
S00519,73.15
S00520,78.29
S00521,71.77
S00522,51.75
S00523,76.0
S00524,61.49
S00525,64.54
S00526,77.66
S00527,57.45
S00528,56.15
S00529,53.44
S00530,82.38
S00531,69.97
S00532,70.62
S00533,72.84
S00534,59.28
S00535,75.92
S00536,84.16
S00537,57.02
S00538,67.77
S00539,65.49
S00540,73.36
S00541,84.94
S00542,65.77
S00543,61.93
S00544,70.52
S00545,50.65
S00546,53.02
S00547,55.32
S00548,84.97
S00549,74.67
S00550,55.04
S00551,62.48
S00552,82.04
S00553,60.02
S00554,65.8
S00555,52.93
S00556,77.74
S00557,57.02
S00558,63.76
S00559,81.54
S00560,55.46
S00561,55.37
S00562,75.33
S00563,54.61
S00564,80.95
S00565,76.73
S00566,73.56
S00567,67.5
S00568,70.43
S00569,60.47
S00570,73.56
S00571,81.75
S00572,72.09
S00573,63.3
S00574,60.83
S00575,50.85
S00576,70.61
S00577,73.43
S00578,55.73
S00579,73.1
S00580,80.31
S00581,55.1
S00582,73.85
S00583,61.91
S00584,68.23
S00585,62.02
S00586,75.2
S00587,53.43
S00588,70.85
S00589,70.82
S00590,68.79
S00591,59.73
S00592,61.05
S00593,71.87
S00594,53.22
S00595,79.5
S00596,84.24
S00597,77.99
S00598,59.32
S00599,52.27
S00600,63.81
