participant_id,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20
S00000,5835.499912384836,4670.435869545068,3780.004260650687,4084.199936987773,4419.222130471961,5131.3199867701305,6318.665002572766,3694.119323146719,5466.798183895239,4709.708614302767,2938.5489410192818,4744.909820372967,4850.414736464034,4898.018095365969,5298.362909854907,1473.3809745921021,5209.045540873671,4795.723070674183,5218.7049593417905,4391.572877324904
S00001,3659.217669236853,3999.852574411769,4824.66571775745,5281.100919352305,4711.479806467162,4504.305449103386,4873.961137238002,4125.080891764709,4200.551031900743,4417.838520850345,557.2031661082792,3879.8152234167273,4823.274953598631,4148.12027252574,5202.421079247857,1433.274086618995,4549.44586098306,2899.3097990344017,3368.2483304990146,4606.091130799371
S00002,5034.734269754058,4494.837941491101,3845.9642435831142,4939.214227599865,4839.03535937464,5473.313573004347,5246.723858442645,5150.917656144322,4316.055626522832,4490.311675808151,2011.6088737891198,5028.5426464670145,4457.690792623939,4237.58032747106,4701.035933241499,4439.929408573439,4838.774360295795,4766.821031147459,4146.480575423276,5455.18651797182
S00003,4519.2150154714745,5162.9378689938285,3672.391101488167,4095.207057481648,4933.750359895837,5242.637385462135,4137.868088501873,3439.284719985862,3472.624428444812,5816.929344795528,1910.5625199744031,5125.285914264472,4551.202401065011,4345.708688934376,5858.076328302148,2440.6390926817708,4755.477374831804,3861.1218250061875,4028.6449473163875,4626.078898880678
S00004,4726.4717982962,4668.991668054974,4134.273296566745,5151.52426610305,4437.953037098674,5339.749268183621,5486.478629814981,4132.510112535149,4155.384462830193,3799.358312601476,2806.286456449348,4664.178034241641,5015.819332652032,3668.163468169147,4742.391853276404,2428.5803369385294,4784.9825643830245,3618.2510921240955,4291.107699232635,5444.601752157977
S00005,5054.134565558113,5296.569193877176,4748.658512228616,4153.182128547577,4144.434356234291,6298.402414291295,4079.772022453477,4337.841105750937,4731.69401109413,4376.351375178208,2289.0429282812183,5421.293527617803,5156.227970740713,4296.375631556313,4799.884643321952,2013.5978318028929,4975.852792446503,5382.734544161603,3325.7630249503964,5011.546514725342
S00006,4758.898276369848,5169.359383473601,4570.942555586325,5212.434235086675,5083.428003965429,5706.8026342642825,5297.542986937056,3687.715401199432,4124.719086053837,4114.356947759098,1795.2619269665397,3811.881461247298,4455.420552563284,3652.39301324236,5626.34970776061,500.0,4151.693687049731,4102.6307633067445,4274.258297594282,5508.616945555694
S00007,3602.281354018885,4640.188958647351,4452.373126643069,4590.183641321316,5642.847638013443,5529.48318973849,5008.11079125045,3653.395191668701,4322.770371259343,3944.3191419143154,3204.669409030221,4917.225190975513,5227.362354604921,4449.612604146213,5764.085228165282,2817.848447498158,5997.091094538777,5327.147381981977,3863.2503088493313,5767.7525194895015
S00008,4151.8857898231,4330.637893413367,3895.9282191922207,4704.403977878384,5725.769054361315,5143.521807374268,4408.037885733143,4985.301326910325,4624.790042963392,4506.564231500358,3112.499623657961,6205.810334953255,4204.4947060566265,4536.435022700473,5363.667280171232,2286.263423737638,4018.824820542201,4939.715269440699,4795.81553190364,5598.447639994303
S00009,6324.469601276274,4568.608577130318,4802.810748859282,5565.672151834996,4340.6264154626515,5933.2547921426585,3828.705775804017,3676.00538748312,4055.935608588037,4003.577463731802,2690.366015266236,4533.694770392675,5010.0776742422295,4418.208514284251,5660.766488432168,2565.92309174896,4790.360381614456,2336.2015382528034,3437.3188019402687,5189.662119211637
