participant_id,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20
S0917,5488.53401389346,6892.587250397235,6621.309399578721,6487.922325667854,5534.638383292296,6251.698173846079,7069.620403912781,6164.325475937303,6909.877985257841,5813.898093089716,4088.0446985278168,5235.26147274594,5366.253440233117,5307.795671368631,6867.659943994549,5302.037672494018,6315.304470154776,6536.866800314388,5577.186257595503,5274.905515617092
S0291,4936.565240482877,6754.788982718535,6290.948519258472,6037.96592585091,5774.381359568357,6234.610730819882,6578.734265517981,6474.6613525242,5785.369279047541,5654.136729577297,4315.122860107932,5758.543400115668,4874.036693244596,5478.572045653369,6665.926469780065,4134.259064354857,6916.883315934512,6472.88660685649,4530.773334435092,5717.224403500011
S0634,6353.276003060935,6292.438000032461,6815.355291824216,6380.62855830824,5151.553120954114,6572.249511433793,6634.070233498942,6116.8021865416285,5985.384782033219,5543.530122923125,4597.797134944453,5972.784082268817,4752.3007370119085,5163.919306327242,6178.092039340294,3621.643256760705,7250.831567372403,6276.540099074894,4802.33583527951,6335.005480823772
S0572,6270.107354917331,6688.053291892091,6220.263686594888,5770.539801079421,4609.572796105303,6688.719514410172,6574.243464075102,6885.016267837065,6641.711788076268,5980.039059695254,4125.85768583962,6133.24724089065,5443.166974790082,4570.651796985263,6265.305402412807,4536.336183169312,6968.316458006007,6484.1779531177535,4849.85894112313,6007.093682184948
S0076,6064.427356716777,6782.865998528067,6533.149014558574,6267.284821979874,5155.4049199498295,7173.129259119505,7091.812376193996,5978.671656103232,6563.46631028275,5452.316871553708,4608.819735679965,5796.10723887673,4779.241883689677,4631.291430432969,6655.299131342341,4623.748392665144,7310.986386861865,5964.474053399325,5419.220391802917,6259.882626294258
S0442,5748.8334595408805,6726.900356226743,6355.246682348074,6327.042960716949,5221.958030368638,5962.635958071115,6903.272528791028,6577.6832227670575,5517.040438475827,6054.032594665746,4327.347217445563,5536.207246867037,5040.286970134316,5493.837850165469,6768.584826656816,4406.7006543516745,6635.851936443206,6279.955344130642,4144.844380815581,5877.9857140837885
S0384,5566.35016401809,6787.755090082009,6269.608400942118,6224.111670695948,3990.215089767906,6448.401662350943,7471.993997231384,6336.362533622988,6272.471893786803,5571.508345794065,4640.889859566199,5631.462616302981,5119.624046296752,4479.22279763403,6422.174529571592,4539.4521762579325,7102.697687775755,6148.893628369542,5125.180487391941,5965.552395271674
S0904,6657.445627367386,6254.5771698617855,5920.849594203029,6518.217035570244,4283.168537045346,6310.209984953647,6146.712692100113,6677.982327320791,7145.3435292932445,5674.166939030351,4011.4646217610793,6019.339604711652,4730.203453336372,3660.408048694054,6473.583484514148,3516.236497367633,6672.673845488846,6270.377967260104,4687.991474663825,5329.205177974523
S0039,6735.218913629317,6676.096900236471,6546.695260424106,6214.9451768853305,6195.696283967398,6746.121091331208,6975.091969142886,6785.2517287706805,6361.228076180366,5676.834792390848,4328.900138018407,5442.665479587811,4416.334373992328,4641.761048552329,5308.566675090548,3626.662539802839,6115.475708304179,6837.3401943071785,5050.674770405182,5697.597144647144
S0991,4708.287338724512,6323.167512394418,6325.216509047683,6357.254714810294,5601.497774437076,7394.269302784294,7156.087132467355,7129.058384178917,7302.149251947037,5784.433766417949,4567.8247891282135,6183.968442750667,4835.881060968747,5661.761825700453,6847.302384445712,3583.3774316369263,6489.951681527246,6479.438503345414,4884.090367620471,5793.516146529771
S0791,6501.1232685861405,6519.105391896233,6416.756825363054,5661.801051881146,5750.568152864957,6241.426310880122,6591.602844688876,6741.182393829774,6646.605155180467,5770.239352728112,4086.080997644596,6125.501727255496,5103.897548763166,4057.240338809455,7140.350519559081,3892.707009448784,6312.202827987453,6160.2590911678535,5344.059990705692,6298.730151235846
S0143,5975.3318474653415,6521.487457490044,6191.60336879169,5614.225668730678,4699.42759662486,6927.576922366858,6663.523704120009,6579.743251896113,6770.314746859021,5958.474553803017,4224.353631405812,5090.043462528472,4786.55099547627,4940.128947623217,6301.393551921183,4312.966532715423,7009.68699586567,6077.685845321128,5191.741586227022,5840.237251486236
S0522,5763.190284493084,6583.608885391667,6251.543108814167,6323.050638005485,4990.806044917617,6445.916628872943,7126.280869742592,6055.991684051093,7347.4329468522255,5641.324017723785,4145.527928825931,5681.045644432325,5517.175748302457,4397.781881664032,6339.2779891111495,4664.452753603308,7009.249199956759,6666.38228156589,6287.427169956723,5231.13972609759
S0607,5962.201589669499,6511.081827972598,6631.733708387444,6297.556294967477,5321.222728165931,6725.880127723073,6953.866326188949,5962.57932303188,6977.357143664936,5541.1268687619895,4660.813399703957,4934.618598762316,4829.025646960303,5184.865486227882,6760.305934067183,4237.953212309669,6553.432082482257,5932.826544764487,4668.644159732123,5815.225262119598
S0685,4910.783358166173,6417.91983488439,6926.815561724306,5428.28854925979,5220.991798284783,6415.988622932797,6930.464521810455,6844.181029858467,7051.473714482338,5460.430322320312,4992.468775156454,5333.37355669567,4693.2113311891735,4004.198697787042,7226.733660329875,4434.089796953745,6509.702773172844,6479.7556312245015,5365.074840256995,6067.119876019538
S0432,6091.526372892566,6545.603478324872,6368.876944648971,6691.5374591824375,4927.03403346829,6504.512068056572,7179.556757397444,5651.0145891021575,6126.978039122518,6182.298388901218,3764.987420381745,5775.6208122959415,4535.792136090473,4623.699441281509,6823.097382858233,3548.9393590579825,6390.856906101281,6744.303097385359,4277.468259602743,5567.544528145518
S0534,6784.568468126856,6836.701218640698,6763.869979614862,6688.857159199349,5281.634797197527,6430.46023150004,6967.401216859847,6516.920111101314,6886.346100724159,5469.853454687323,3792.2146637095743,4730.498116646643,4989.1744430427625,5439.891362816731,7418.761844488513,3572.173639128212,6888.786544527535,6551.282234408136,4261.816678944714,6245.176174449927
S0350,5556.252960789074,6576.047097818072,6727.28526767545,6463.531638119538,5190.75530339075,6793.83277335519,6641.866885393488,7389.430446980363,6623.3916362686905,5724.449646863608,4912.1343339615305,5650.829911057143,5140.170746259352,3747.218107337008,7056.034037077146,4837.875238389149,6159.193390150901,6681.741964902378,5239.608006800896,6306.902667263527
S0833,5520.480104652674,7112.788291474873,6751.66142586827,6555.146687799266,5343.212112266175,6512.101639698366,6766.570620492113,6315.795029528644,5981.550774406474,5735.5807705757625,4231.409820607694,6427.482307774508,5266.934225131279,4238.21320641933,7375.446925503638,3930.4927368495946,7286.768688910625,6246.105487684036,4496.393386051356,5437.872792671022
S0943,5640.563501239089,6535.257741951494,7056.726797646485,5268.473862077673,4569.244733222909,6215.96206451186,7188.7512786791,7459.298570037872,6824.311053359373,5279.48108460945,4671.847604114502,5307.46019032261,5207.980094000813,4953.95856247573,6874.571555360743,4175.740106156078,7044.504226322989,6812.306122212491,4674.998404582077,6475.0644954986965
S0046,6858.04046199124,6706.879316896467,6699.808761428597,5835.085943691463,5185.736761229744,6260.911277709221,7030.708271905066,6498.837502077742,6459.470131401432,5808.03780795935,4772.355232247463,6531.5732026851065,5279.062174994807,3856.331475681705,6822.304423830401,4404.204017010348,7724.260310638824,6623.512882075827,5972.864264178767,5164.483137468016
S0397,5831.752062203395,6467.214948778184,6352.467670427573,6817.381260739954,5635.545250959359,5877.098064275101,6969.665175659766,6061.446976058234,6466.338586518266,5694.446691321678,3988.7626178960704,6181.017671969807,5292.720433157935,3057.6849863469497,6199.783745514873,4745.472685029435,6898.007194354175,5737.922151155429,4907.020113424401,6289.283920397442
S0965,6412.666550945123,6305.134662073627,7009.765023806521,6201.352897255626,5128.675212244844,6492.790408886678,6884.783934715505,6525.376897098268,6415.939157943841,5623.124333277729,4821.350022876975,5466.248305008588,5704.5613244831,4386.706976801564,6403.790557574849,4117.456685983786,6775.455295909367,6358.590857963497,4767.375541564519,5978.002409777182
S0718,5040.478809411423,6135.990167802176,6791.291160955048,6932.20774976434,5128.938774127604,6822.8229767281455,6673.831966155449,6594.629560787784,6898.677493333813,5965.512635490252,4333.471740283081,6186.820602321457,4357.038668743203,5070.037573395961,6918.896643335344,3990.2287097574513,6664.998758411931,6237.669002099973,6042.634925688192,4918.608568637176
S0902,6293.836564498638,6071.93211280667,6311.58045791561,6344.35185665423,5383.072015372212,6361.2731749142695,6956.972493796979,7085.298715445769,6313.321530979174,5867.357914135838,4075.076882060083,5000.766997853629,5641.608699770292,4308.130210843799,6053.443887510338,3982.0627515635297,7179.582149888099,6482.692067577373,4119.930174664889,5975.999253978324
S0147,6165.707054862715,5991.875709644501,6437.845747841075,5941.584168636174,5220.5586582272845,5891.504227012839,7052.501511449776,6753.688835276497,6161.216428118979,5856.704313083408,4718.837286969426,5500.504997890372,4678.489373594412,4453.050277515583,6872.813230604745,4008.014799855382,7216.990705218866,6261.466439010611,4822.645092932191,5414.960077531225
S0538,6859.366995992477,6484.888362737329,6800.02492285215,5924.004593898204,6358.247720600671,6750.847290935962,6775.601672855262,6240.816859143785,6985.897056317908,5595.114790587359,4569.430228420718,5354.012753075453,5658.864009669215,3735.861412757752,5706.811471904824,4428.728503421058,7053.469633898269,6563.075080662291,4589.517797274948,6395.573054800187
S0191,5996.59922731944,6581.412881923505,6601.367255737878,5785.79334552517,4809.069767514666,6716.158262083726,6272.416142530178,6668.176897829031,6762.610100480717,5924.535499155968,4056.1868426968153,5553.799828274293,5528.775647411143,4298.161738573862,6342.442133646192,5110.842515549317,6763.185427955256,6185.179338687661,4561.191743687728,5768.633380443516
