participant_id,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20
S0026,5415.592600507135,6881.408330674965,5887.92972932344,7063.705442560326,5010.714701510132,6501.912163590455,6999.377242271884,6229.894556652168,6743.918213439473,5046.258414237112,4413.906882419628,5222.183107842321,5523.400626941518,4027.9153302431528,7163.587755873259,3494.1816996467014,6717.637075712813,6934.478166951565,4471.355928822403,5839.284999380785
S0813,5456.250912902614,6415.567094346992,6083.25506039381,6379.614367443368,4944.189754419648,6627.898519219647,7028.401083884915,5812.248192785864,7369.86928260176,5721.823436702088,4004.804791257879,4708.021817258423,4978.383192835177,5449.609608438592,6449.67552837948,4114.406996505626,6172.869237502207,6358.649426891722,4785.396336100596,6648.585705261992
S0098,5699.279225944878,6533.365665228544,6048.135905193043,6289.371670825091,4944.292320377658,6316.368753739367,7134.05804921763,5214.813950797224,6696.771178506444,5533.807689558769,3970.272971763535,5026.113725851723,4930.860391309074,4547.015280088784,6563.199493091941,4888.558615312364,6609.207330932827,6347.693242319108,5354.490639996637,6107.925563438843
S0233,5228.624305008546,6213.650523780607,5972.555583316973,5950.350700374147,5956.267172787438,6180.376502932162,6670.288868880079,6206.415870318006,7019.134597777879,5490.225476246798,4158.15258721569,5170.099146486118,5252.011142149058,4525.782865789445,5986.669763637239,3707.4027383679895,6975.561455352038,6014.827448528633,5570.760236141628,6014.246558460333
S0931,5687.855533048225,6667.869280336305,5909.096712219304,6055.179142356492,5298.166385022988,6656.362851092944,7035.753611593069,7426.894509624978,6720.246229925488,6032.94620805213,4083.763673989189,5999.964067709409,5033.115766511217,4729.232817269063,6535.8156681099335,3505.0246235728123,7420.318844159119,6290.958154453165,4052.7978088353498,6340.341308848958
S0296,6264.438794893281,6436.681282087398,6200.505881297525,5797.334636960998,5109.01987892395,6652.705612385083,6769.702645331619,6457.939014755172,6644.733506084492,6252.057915424848,4529.867925449682,5199.682442827858,5275.43904698305,4973.022302618355,7970.948054894231,4451.410092457883,6762.455009821296,6158.703088654024,4386.435200763935,5687.004159561467
S0228,6388.432583161936,6877.8845987792965,6172.350574335661,5605.768133993056,5428.64701476589,6403.956507270221,6809.867803271885,7085.091449682192,6556.267177107204,5570.272383967215,3806.070758137614,5066.307958692586,4790.976613711771,4634.855176845309,6769.329775436291,4757.148933190808,6876.824390687438,6038.022126341817,4826.292049193843,5752.199029064709
S0355,6291.746230686383,6329.146843889606,5837.383898230568,5608.418574318211,5306.772743528234,6612.658468619721,6687.132917256595,5657.336922921821,7007.446783064461,5823.291270764664,4364.592520134855,4712.280718920972,5669.585233982145,4699.355037134443,6327.308097215335,3842.6325890016496,6468.123062047228,6686.274292160334,5335.768539771303,5801.7274281052
S0195,5935.549481683476,6467.274120677886,6144.061110825162,7065.645359172824,5053.151556512575,6635.703113504475,7205.156334736543,7115.316084493972,6670.258022317332,5748.694512597434,4943.453667855667,5095.415144208981,5107.728635185395,4027.254505249808,7030.385719512775,5104.776383321711,7051.4946943864825,6100.812844101,4185.956720629909,6788.232710981245
S0920,6123.554992626519,6432.502580083691,6273.477567222939,6169.760050163021,4865.021236671167,6288.389882167125,6717.389399076831,6152.394311788543,6305.288156637034,6015.149478040599,5170.396864825126,5347.37299674879,5523.548475851105,4841.980305198445,6047.586483082673,4740.460053355788,6865.885269153458,6585.549160426832,4877.99814427987,5487.049525938758
